ID,Name,Source,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,StartDate,EndDate,Status,All,Productgroup,SortID,GM,Link,Facility,"A.1| ""All items""",ProductLineID,ProductgroupID,ColorID,ClassID,NameID,Lock,Year (start day)
405,ML Road Handlebars (405),User,31,Blue,500,375,34,Unisize,Unisize,300,1,Road,34,M,W,ML Road Handlebars,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAPgAAADLCAMAAAB04a46AAABC1BMVEX///8AAAAVFRMTExHCwsIRExITExPGxsbo6Oj7+/vz8/MQEA739/fZ2dnt7e3Nzc3i4uLT09MYGBh2dnS8vLyxsbFcZGlwcHBUVFR+fn2jo6M8PDseHhyFhYWVlZWvr6+enp5HR0clJSQcHBwfHxsPEAk2NzJlZWQwMjFLUFV+iJEzODyXpK+hrblxeoA+QkYAAAXQ4uuxv8oFERQICAAcHRQqKyY8PTctLzNfZnFOTkxjZF9cWVhtdnyOmaWltsWfsLdGSk8VGiAYEwkkIyjM1dzM19zW5+28zthtcn7t9v1TXmi1v8m1xNdJTVaPlprg8/rn/P8jJzJebXLK2+3W5PZ7h5UwOEK4yMriBLbGAAAK6klEQVR4nO2cC1vayhaGWQHCZeQWINzCLTElgZAIzW7RAwhuUQp0Y7e2u///l5w1wVZt6alogLDPvA8B5QmZWfPNZc3KTHw+BoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYD",Anatomically shaped aluminum tube bar will suit all riders.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,3,,USA,All items,3,4,2,1,45,,2012
406,ML Road Handlebars (406),User,33,Blue,500,375,37,Unisize,Unisize,300,1,Road,37,M,W,ML Road Handlebars,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAPgAAADLCAMAAAB04a46AAABC1BMVEX///8AAAAVFRMTExHCwsIRExITExPGxsbo6Oj7+/vz8/MQEA739/fZ2dnt7e3Nzc3i4uLT09MYGBh2dnS8vLyxsbFcZGlwcHBUVFR+fn2jo6M8PDseHhyFhYWVlZWvr6+enp5HR0clJSQcHBwfHxsPEAk2NzJlZWQwMjFLUFV+iJEzODyXpK+hrblxeoA+QkYAAAXQ4uuxv8oFERQICAAcHRQqKyY8PTctLzNfZnFOTkxjZF9cWVhtdnyOmaWltsWfsLdGSk8VGiAYEwkkIyjM1dzM19zW5+28zthtcn7t9v1TXmi1v8m1xNdJTVaPlprg8/rn/P8jJzJebXLK2+3W5PZ7h5UwOEK4yMriBLbGAAAK6klEQVR4nO2cC1vayhaGWQHCZeQWINzCLTElgZAIzW7RAwhuUQp0Y7e2u///l5w1wVZt6alogLDPvA8B5QmZWfPNZc3KTHw+BoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYDAYDAaDwWAwGAwGg8FgMBgMBoPBYD",Anatomically shaped aluminum tube bar will suit all riders.,7/01/2013 0:00,,Current,All,Active,,4,,USA,All items,3,4,2,1,44,,2013
421,HL Mountain Rear Wheel (421-A),User,176,Blue,500,375,196,Unisize,Unisize,300,1,Mountain,196,H,W,HL Mountain Rear Wheel,,High-performance mountain replacement wheel.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,20,,France,All items,4,4,2,3,65,1,2012
422,LL Road Rear Wheel (422),User,61,Blue,500,375,68,Unisize,Unisize,300,1,Road,68,L,W,LL Road Rear Wheel,,Replacement road rear wheel for entry-level cyclist.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,7,,USA,All items,3,4,2,2,54,,2012
424,HL Road Rear Wheel (424),User,193,Blue,500,375,214,Unisize,Unisize,300,1,Road,214,H,W,HL Road Rear Wheel,,Strong rear wheel with double-walled rim.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,21,,USA,All items,3,4,2,3,63,,2012
425,Touring Rear Wheel (425),User,132,Blue,500,375,147,M,Unisize,300,1,Touring,147,H,W,Touring Rear Wheel,,Excellent aerodynamic rims guarantee a smooth ride.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Street,,15,,Australia,All items,1,1,2,3,14,,2012
445,"Mens Sports Shorts, S (445)",User,32,Blue,4,3,36,M,S,300,2,Sport,36,H,M,Men's Sports Shorts,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7vBokNr47YUd4JwNYpDI8gB-j7ISgyzZz6g&usqp=CAU,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Adventure,,4,,Austria,All items,2,3,2,3,48,,2012
446,"Touring-Panniers, Large (446)",User,68,Blue,4,3,75,Unisize,Unisize,300,3,Touring,75,H,M,Touring-Panniers,,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",7/01/2012 0:00,27/12/2008 0:00,✅,All,Street,,7,,Australia,All items,1,1,2,3,3,,2012
447,Cable Lock (447),User,14,Blue,4,3,15,Unisize,Unisize,300,1,Sport,15,H,M,Cable Lock,,"Wraps to fit front and rear tires, carrier and 2 keys included.",7/01/2012 0:00,27/12/2008 0:00,✅,All,Adventure,,1,,Austria,All items,2,3,2,3,72,,2012
448,Minipump (448),User,11,Blue,4,3,12,Unisize,Unisize,300,1,Sport,12,H,M,Minipump,,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Adventure,,1,,Austria,All items,2,3,2,3,47,,2012
449,Mountain Pump (449),User,14,Blue,4,3,15,Unisize,Unisize,1000,1,Mountain,15,H,M,Mountain Pump,,Simple and light-weight. Emergency patches stored in handle.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,1,,France,All items,4,4,2,3,42,,2012
451,Headlights - Dual-Beam (451),User,19,Blue,4,3,21,Unisize,Unisize,40,1,Road,21,H,M,Headlights - Dual-Beam,,Rechargeable dual-beam headlight.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,2,,USA,All items,3,4,2,3,68,,2012
452,Headlights - Weatherproof (452),User,24,Blue,4,3,27,Unisize,Unisize,40,1,Road,27,H,M,Headlights - Weatherproof,,Rugged weatherproof headlight.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Active,,3,,USA,All items,3,4,2,3,67,,2012
453,"Mens Sports Shorts, M (453)",User,32,Blue,4,3,36,M,M,40,1,Sport,36,H,M,Men's Sports Shorts,,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Adventure,,4,,Austria,All items,2,3,2,3,49,,2012
456,"Womens Tights, S (456)",User,41,Blue,4,3,45,M,S,40,1,Sport,45,H,W,Women's Tights,,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,7/01/2012 0:00,27/12/2008 0:00,✅,All,Adventure,,4,,Austria,All items,2,3,2,3,1,,2012
459,"Mens Bib-Shorts, S (459)",User,49,Blue,4,3,54,M,S,40,1,Sport,54,H,M,Men's Bib-Shorts,,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",7/01/2012 0:00,27/12/2008 0:00,✅,All,Adventure,,5,,Austria,All items,2,3,2,3,50,,2012
473,"Classic Vest, L (473)",User,34,Blue,100,3,38,L,L,40,1,Sport,38,L,U,Classic Vest,,"Light-weight, wind-resistant, packs to fit into a pocket.",7/01/2013 0:00,,Current,All,Adventure,,4,,Austria,All items,2,3,2,2,71,,2013
477,Water Bottle - 30 oz. (477),User,3,Blue,4,3,3,Unisize,Unisize,40,1,Sport,3,L,U,Water Bottle,,AWC logo water bottle - holds 30 oz; leak-proof.,7/01/2013 0:00,,Current,All,Adventure,,0,,Austria,All items,2,3,2,2,2,,2013
479,Road Bottle Cage (479),User,5,Blue,4,3,5,Unisize,Unisize,40,1,Road,5,L,U,Road Bottle Cage,,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,7/01/2013 0:00,,Current,All,Active,,0,,USA,All items,3,4,2,2,32,,2013
480,Patch Kit/8 Patches (480),User,1,Blue,4,3,1,Unisize,Unisize,40,1,Sport,1,L,U,Patch kit,,"Includes 8 different size patches, glue and sandpaper.",8/01/2013 0:00,,Current,All,Adventure,,0,,Austria,All items,2,3,2,2,38,,2013
481,"Racing Socks, M (481)",User,5,Blue,4,3,5,M,M,40,1,Road,5,L,U,Racing Socks,,"Thin, lightweight and durable with cuffs that stay up.",7/01/2013 0:00,,Current,All,Active,,0,,USA,All items,3,4,2,2,36,,2013
482,"Racing Socks, L (482)",User,5,Blue,4,3,5,L,L,40,9,Road,5,L,U,Racing Socks,,"Thin, lightweight and durable with cuffs that stay up.",7/01/2013 0:00,,Current,All,Active,,0,,USA,All items,3,4,2,2,37,,2013
483,Hitch Rack - 4-Bike (483),User,65,Blue,4,3,72,Unisize,Unisize,40,8,Sport,72,L,U,Hitch Rack - 4-Bike,,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch.",7/01/2013 0:00,,Current,All,Adventure,,7,,Austria,All items,2,3,2,2,66,,2013
484,Bike Wash - Dissolver (484),User,5,Blue,4,3,5,Unisize,Unisize,40,7,Sport,5,L,U,Bike Wash,,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.",7/01/2013 0:00,,Current,All,Adventure,,0,,Austria,All items,2,3,2,2,73,,2013
487,Hydration Pack - 70 oz. (487),User,30,Blue,4,3,33,70,70,40,6,Sport,33,L,U,Hydration Pack,,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.",7/01/2013 0:00,,Current,All,Adventure,,3,,Austria,All items,2,3,2,2,60,,2013
488,"Short-Sleeve Classic Jersey, S (488)",User,29,Blue,4,3,32,M,S,40,5,Sport,32,L,U,Short-Sleeve Classic Jersey,,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",7/01/2013 0:00,,Current,All,Adventure,,3,,Austria,All items,2,3,2,2,17,,2013
490,"Short-Sleeve Classic Jersey, L (490)",User,29,Blue,4,3,32,L,L,40,4,Sport,32,L,U,Short-Sleeve Classic Jersey,,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",7/01/2013 0:00,,Current,All,Adventure,,3,,Austria,All items,2,3,2,2,18,,2013
501,Rear Derailleur (501),User,66,Blue,500,375,73,Unisize,Unisize,40,3,Accessories,73,L,U,Rear Derailleur,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD3DDunYyEl1YoP1MZYmhQ39oMrzB6H6mVEQ&usqp=CAU,Wide-link design.,7/01/2013 0:00,,Current,All,Accessory,,7,,Vietnam,All items,5,5,2,2,34,,2013
514,Rear Brakes (514),User,58,Blue,500,375,64,Unisize,Unisize,40,2,Accessories,64,L,U,Rear Brakes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD3DDunYyEl1YoP1MZYmhQ39oMrzB6H6mVEQ&usqp=CAU,Wide-link design.,7/01/2013 0:00,,Current,All,Accessory,,6,,Vietnam,All items,5,5,2,2,35,,2013
538,LL Road Tire (538),User,12,Blue,500,375,13,Unisize,Unisize,500,1,Road,13,L,U,LL Road Tire,,Same great treads as more expensive tire with a less expensive wire bead casing.,7/01/2013 0:00,,Current,All,Active,,1,,USA,All items,3,4,2,2,53,,2013
540,HL Road Tire (540),User,18,Blue,500,375,20,Unisize,Unisize,500,0,Road,20,H,U,HL Road Tire,,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,7/01/2013 0:00,,Current,All,Active,,2,,USA,All items,3,4,2,3,62,,2013
541,Touring Tire (541),User,15,Blue,500,375,17,Unisize,Unisize,500,1,Touring,17,,U,Touring Tire,,High-density rubber.,7/01/2013 0:00,,Current,All,Street,,2,,Australia,All items,1,1,2,4,13,,2013
545,LL Road Pedal (545),User,22,Blue,500,375,24,Unisize,Unisize,500,1,Road,24,L,U,LL Road Pedal,,Clipless pedals - aluminum.,7/01/2013 0:00,,Current,All,Active,,2,,USA,All items,3,4,2,2,55,,2013
547,HL Road Pedal (547),User,44,Blue,500,375,49,Unisize,Unisize,500,1,Road,49,H,U,HL Road Pedal,,Top-of-the-line clipless pedals with adjustable tension.,7/01/2013 0:00,,Current,All,Active,,5,,USA,All items,3,4,2,3,64,,2013
548,Touring Pedal (548),User,44,Blue,500,375,49,Unisize,Unisize,500,1,Touring,49,,U,Touring Pedal,,A stable pedal for all-day riding.,7/01/2013 0:00,,Current,All,Street,,5,,Australia,All items,1,1,2,4,15,,2013
553,LL Touring Handlebars (553),User,25,Blue,500,375,28,Unisize,Unisize,500,1,Touring,28,L,U,LL Touring Handlebars,,Unique shape reduces fatigue for entry level riders.,7/01/2013 0:00,,Current,All,Street,,3,,Australia,All items,1,1,2,2,52,,2013
554,HL Touring Handlebars (554),User,50,Blue,500,375,55,Unisize,Unisize,500,1,Touring,55,H,U,HL Touring Handlebars,,A light yet stiff aluminum bar for long distance riding.,7/01/2013 0:00,,Current,All,Street,,5,,Australia,All items,1,1,2,3,61,,2013
561,"Touring-1000 Yellow, 46 (561)",User,1287,Blue,100,75,1430,46,42-46 CM,13000,4,Touring,1430,H,U,Touring-1000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEHNGDbTlk2SwVtGEKUg529vqmqG_xFaAmFw&usqp=CAU,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,8,,2013
562,"Touring-1000 Yellow, 50 (562)",User,1287,Blue,100,75,1430,50,48-52 CM,13000,4,Touring,1430,H,U,Touring-1000,,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,7,,2013
563,"Touring-1000 Yellow, 54 (563)",User,1287,Blue,100,75,1430,54,54-58 CM,13000,4,Touring,1430,H,U,Touring-1000,,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,6,,2013
564,"Touring-1000 Yellow, 60 (564)",User,1287,Blue,100,75,1430,60,60-62 CM,13000,4,Touring,1430,H,U,Touring-1000,,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,7/01/2013 0:00,,Current,All,Street,,143,,Australia,All items,1,1,2,3,5,,2013
